页码,评论者,星级,IP属地,评论内容
10,行行行,3星,美国,一开始找错资源看了部纯舞台演出的版本全程坐立不安哈欠连天也没感受出什么特殊舞台效果后来才知道还有这个“特效”版又找来看观影体验大幅提升人果然是视觉动物。。尽管总有无限拉长的唱段节奏仍比想象中快至少在达到枯燥感的边缘前还能有足够的画面吸睛平面舞台感的设计也很新颖不过好不好看最根本的问题还是故事可以再创新一点。。。
11,是茶,3星,河北,形式让我很吃惊又像水墨画又像话剧的戏曲小青真是人间清醒
11,那一抹无名的红,3星,湖南,2.5文戏走传统，武戏上特效，怎么说呢？那舞台上，水漫金山这场戏正经是怎么演的？演员表演不差，尤其是打小练的身段，架子一摆开，看得见的好。只是就还是，这样的结合基本是两头都没顾不上，感觉创作组就没想明白，要表现的到底是什么，拍脑门想就上简单的拼贴，太敷衍了。所以粤剧，伴奏组里还有弦乐组？
11,是为卿封笔吖,3星,黑龙江,这里是恋爱脑小白蛇和人间清醒小青蛇挺感动的。
12,Lyons,3星,北京,戏曲电影的新尝试，白蛇故事并无创新，收尾部分的唱词还略显尴尬，CG技术的加入提升了部分观感，却也让另外的部分显得廉价，水漫金山几场的set很容易想起徐克的《青蛇》，ps说起电影感这东西，比起NT疫情期间由舞台剧现场转成戏剧电影的《罗朱》，真的差了不止一点
13,Lucky李IST,3星,江苏,"白蛇傳·情(2019101min粤语)2022.09.03曹杨影城推荐星级：★★★小李评分：6.3小季评分：6.5#粤剧五折戏，能勾起年轻人对戏曲的好奇心，戏曲和电影的交融可以成为中国风的歌舞片。澳大利亚和韩国的特效团队贡献90%的特效画面，山如眉黛，雾锁江南，水漫金山的特效令人惊叹，赋予戏曲这一艺术形式更加优雅的姿态。构图考究，审美养眼，戏曲由真而实更为自由融合，水墨写意，更讲究的是器乐和留白。依然是小青的台词最为接近""有情""的内核：""人家你情我愿，碍了谁人的眼？关了哪佛的事？逆了哪里的天？""#"
13,summerwine,3星,北京,补。去年在77那个简陋剧场看完的，印象里洋红色调重得离谱。
14,无复烟火,3星,江西,每一帧都跟中国水墨画一样白蛇传的故事确实是家喻户晓不过第一次接触传统戏曲中的白蛇它没有拖沓的剧情没有演员替身全都是演员自己实打实的功夫初遇-定情-昆仑盗仙草-水漫金山-续情-守护雷峰塔我非常喜欢小青这个角色从一开始懵懵懂懂跟着白蛇来到人间不知人间的感情有何好处但见到白蛇的经历从一开始对许仙的崇拜变成讨厌面对法海毫不惧色坚守自己的想法片中的《圆我的愿》用温柔的女声唱出白蛇对许仙感情的坚韧不悔而《天蓝蓝水涟涟》总能让人联想起西湖美景波光粼粼的湖面盛开的荷花……转自B站评论区
14,这里,3星,上海,很美，但美不等于艺术，美的过于端庄反而趋向于无趣。何况白蛇传的故事讲了千万遍，纵使情深意切不变，社会的主要矛盾却早已变了。
14,麦田牧羊人,3星,广东,美术和特效都很美很有韵味，但是还是耐不住很困，可能是这个经典故事被演绎过很多次了，加上粤剧这种形式说词太漫了，有点难入戏😂。
14,璐尔北,3星,北京,用看戏曲依然觉得遭罪来判定自己应该还没上年纪，偏通俗的唱段倒是挺好听的。
14,葵栗,3星,四川,质感不如宣传片
15,回车挂扶桑,3星,北京,1分创意，1分特效，1分文化保护
15,潘晓婷,3星,吉林,画面和唱腔美则美矣，故事内核还是老一套，远远不如30年前那版《青蛇》，娇媚的王祖贤、曼妙的张曼玉、挣扎的法海。
15,森sen,3星,山西,3.5
15,u,3星,四川,画面很美奈何鄙人实在不感冒
16,马来可,3星,北京,戏曲艺术与电影艺术一次有趣的尝试单从电影角度来谈还是有很多应该做的更好的地方……
16,Youlzihu,3星,陕西,三星给类型吧
16,泡鱼,3星,广东,非常不错的视听体验，CG+粤剧，同样也喜欢许仙的改编结尾，但愿世间情常在，不负人间一百年。
16,Linkinopio,3星,上海,剧情没什么新意，只是粤剧电影的形式和画面质感值得一赏，看完审美又多元了一些。
17,Po1arBear,3星,德国,构图色彩确实好看，希望以后能有更多这种融合中国传统戏曲的电影出现。
17,直到世界尽头,3星,山东,戏曲和电影在表现上还是有较大差距，三星给勇气，不禁想起之前的相声电影
17,柏实,3星,江苏,看起来法力高强
18,山岄,3星,北京,画面很美，可能我对戏曲艺术暂时欣赏不来
19,JUNWK1334,3星,上海,形式算挺有想法，但你跟我讲这背景他妈是西湖那我也只好微笑了。剧情上感觉几乎没有任何新意，到如今白蛇入人间还是为了跟许仙续前世姻缘，有点恶心。只好讲唱词和身段好像还挺美，但话说回来我对粤剧毫无鉴赏的基础知识，这方面可能也只能看个热闹。
19,凯奇,3星,广西,披着cg的超英戏曲电影
