页码,评论者,星级,IP属地,评论内容
10,Mailg,1星,上海,有些电影我真的不想评分，这部就是这种试图打造一个美字，而剧情立意全都没有新意的电影。我以为翻来覆去拍同一个故事，在新的时代里应该有新的解读吧，结果，这是个什么啊？古代书生意淫的故事就是狐狸精修炼几千年就修炼成恋爱脑了，也不想改变这世界，也不想去报复人类，对皇权统治权也没有兴趣，都长生不老了，天天就搁那对着一个人爱情爱情爱情的，故事还能有点新意吗？怎么到了21世纪还继承那套书生意淫的内核，没有一点改变？再者，白蛇与青蛇是最初的我们对于女性亲密但不是爱情关系的想象，结果小青成了白蛇爱情的助攻，白蛇为了个男人修炼千年的道行也不要了，自己和最亲的妹妹也困在这是非多的凡俗人间，精不成精，仙不成仙，图啥呢？图爱情对吧？我觉得对女性的狭隘想象莫过于此，真是太可悲了。
11,异食_East,2星,浙江,一星，粤剧加一星。戏曲的落伍与载体毫无关系，故事内核不改，谁来都一样。在人想做妖、自由自在的当下，仍在歌颂非人的妖甘愿遵人道的故事，实在影响观感。即便因为它是“戏曲”而原谅其观念的落后，“人成妖”与“妖成人”中间也差了一截新文化时就在歌颂的罗朱式的反叛：它实在太落伍了。白素贞此类“贞”的女性形象，与懦弱的男性书生，在女性尚未作为个体存在的旧社会，也就是在男人们的眼中，尚且成立，如今仍以原形象出现，不伦不类，能入得了谁的眼？粤剧此种为舞台与想象服务的体裁，即便是电影，也该追求背景的“不真”，而非这样影楼风的想真真不得，我每次出戏，都是因为想把背景拍成真的，而不是因为背景被拍得像假的画。至于被人赞美的水漫金山，与粤剧毫无关系不说，特效和僵硬的一来一回放在哪部中国电影里都会被淹没，真是莫名其妙。
11,1366,1星,广西,2.0表情极其做作，白素贞许仙都极丑
11,Mazurken,2星,上海,非常失望。此片人人皆开口谈“情”，但具体表现却飘渺架空至无法撑起这个“情”，特别是一开口就上价值不能忍。另许仙第一次见面就又是断桥又是竹林的，胆大堪比张三郎。
12,heaven导导,1星,陕西,你们真觉得好看吗，看了N次的故事加上唱戏我看着看着睡着啦
12,云胡不喜,1星,河南,不知道置景师在干什么随处可见的倭风置景，日本人看了都直呼牛啊，真的是脸都不要了，你是戏曲啊，这么倭，我只能说中华文化已死！！！！！
12,Déprimant si et,1星,广东,我宁愿去剧院买票，看人唱大戏，贵点就贵点。个人推荐一颗星，完全完全不推荐看。如果一定要欣赏戏曲影视，建议看看台湾的歌仔戏系列。台湾歌仔戏也是戏曲改编成影视向的戏曲，比这部电影好太多。真闹心，浪费时间看了一部烂片。
12,Sile,2星,天津,演员很漂亮很专业，导演和特效毫无审美做的和史一样，要不你们这群人重开吧，别做了一群猪
12,抗污染气垫122,2星,日本,两星都给戏曲…至于电影角度无从评起…
12,你给我少来,2星,江西,良心不能再多了
12,别看帕索里尼了,2星,浙江,太难看了，剧情还是建模
12,吾遛无酒腰舞,2星,浙江,只一味特效，舞美，戏曲特有的韵味都丢光了。
13,_mialiuuuuuu,2星,英国,画面美丽但看不下去
13,誰來馴服言物,2星,广东,……不敢恭维
13,万壑听松,1星,北京,五粮液广告超级加倍版
14,水千户,2星,山东,唔。。。也许粤剧编排老师们该考虑下受众被短视频荼毒过的注意力水平。
15,速度外正,1星,浙江,🤢
15,遇见,1星,云南,不好看，听不懂
15,dbdu,1星,广东,没看完
15,hackernelor,1星,北京,戏曲欣赏不了
16,超级悦悦,2星,河北,听的我头疼
16,夏沫,2星,湖南,首部4K全景声粤剧电影，取材自民间故事《白蛇传》，那白蛇的故事，远久流传...白素贞修炼千年，只为人间寻那许仙，再续兰因前缘。说什么人妖殊途，法理难容此爱恋。
17,豆友mFEKIlqA8o,2星,河北,因为喜欢你，所以喜欢你所有的任性和小脾气
17,重新开始,2星,江苏,给这么低的评分绝不是品质问题，制作的非常好，戏曲做成电影也是创新和推广，只是，如果抱着这种态度，中国戏曲和电影迟早完蛋！为什么呢？白蛇传的剧本故事拍了多少电视剧和电影了？去年我光看动画电影就有两部白蛇传题材，这种剧本真的是拍烂了，难道中国真的没有编剧？西游记和白蛇反复的拍，创新一个新角色为何这么难，这么多人给高分不过是戏曲形式的创新，换汤不换药罢了，还不如百老汇舞台剧汉密尔顿
17,Atopos,2星,四川,一般般
17,奕万星辰,2星,广西,好看
18,双分君,2星,江西,还是接受不了纯戏曲的内容🥺
18,旧欢如梦,1星,四川,什么鬼?
18,逮马仕革,2星,安徽,没说的那么好，略显生硬，剧情和动画都
19,晴,2星,湖南,一分给演员，一分给服装造型，不能再多了
19,Bob doc,2星,江苏,一般，还是电视剧的白蛇好看
