页码,评论者,星级,IP属地,评论内容
11,基本是我,5星,浙江,这么有改革创新的戏曲片怎么会拿不到金鸡奖呢？
11,景外声,5星,四川,戏曲电影落点还是应该在戏曲上，救许仙那场打戏的水袖是真舞得好看，期待新作。但最后还是要吐槽枯山水的布景，很出戏，希望下部戏不要犯这些低级错误。
11,雪中来客,4星,浙江,我居然看完了一部戏曲电影。不得不说，美术真的是太好了，审美相当好，浓浓国风，很独特的水墨国风特效，特效水准很不错。曾小敏老师唱得真好，基本不听戏的，都要被她唱哭了，实打实甩水袖打架那段，秒杀一堆特效打戏摆pose的流量演员。本子上，老戏新演，许仙人设不差，白素贞敢爱敢恨，小青依然观众嘴替，法海也不算那么盲目。戏曲电影一次不错的探索，艺术品。
11,南都小王子,5星,浙江,第一次看粤剧，本来以为会很难接受，但竟然意外地好看，首先是粤剧的唱腔咬字比较接近日常对话，对于年轻人比较好接受，而且，可以看出，这部剧花了很大心思在服化道及场景布置上，美轮美奂，而且特效给得恰到好处，斗法一场还是比较震撼的，为传统戏剧与现代技术的完美融合点赞，希望能有更多这样的好剧出现，使中国传统曲艺焕发新生！
12,剑气凌厉的江南,4星,上海,电影院看的，还有点惊喜，特效画面什么的都往浪漫系使劲儿，虽说是粤剧，念白其实都听得懂，许仙也没有改得很冷漠，永镇雷峰塔也保留了，小青的台词也很有气场，挺好
12,马苏皮拉密,4星,四川,粤剧电影牺牲了一些戏味拉近了普通观众特效不错场景很美
12,血浆爱好者,4星,浙江,〈补标〉
12,丑嘴唇,5星,广西,毛立平老师说过一个代表当时当地统治阶级价值观的县志里记录的一则传说，说一个读书人在夜宿破庙时遇到一只老虎，这个老虎变成一位女子与他成亲，生子后两人故地重游，女子进了庙后变回老虎吃掉儿子后离去，空留这个读书人疯癫度过余生。这则传说意在告诫当时的人们婚姻必须明媒正娶，自己野合不得善果。虽然宣传力度很是用力了，但是相比之下，《白蛇传》这样讲述人蛇相恋歌颂爱情的故事显然流传更广更受百姓欢迎。虽然《白蛇传》中有着这样那样在不同时代中会有的争议，但在争论其中所谓的是非对错时别忘了，这样的传说的产生和流传本身就是对那个封建社会的僵化腐朽所作的反抗吧。
12,奇爱博士,5星,北京,好看到令人流泪，前前后后刷了十几遍。虽然从事电影专业工作这么多年，但真正能打动我的就是这种通俗纯粹的电影。CFA李金辉映后交流2023.6.24
13,比多,4星,北京,不错。戏曲和电影手段结合得很好。那些身段都很有魅力。
13,江枫渔火·,4星,北京,第一次在大银幕看戏曲电影，喜欢。诗意的场景设计，充满写意美学。文戏武戏都很不错，水漫金山那段特效绝了！只不过结尾有些过于仓促了。中国电影资料馆6.24
13,电子荒野,4星,浙江,有老粤语残片的精髓。
14,奥兰少,5星,北京,@小西天映后交流场。完全没有看戏曲的素养，也从来无感中国民间传说这类体裁。一年多前上院线，直到电影下映，才注意到影片的口碑。想大银幕看一直留到今天总算如愿。五折戏化入100分钟的容量，删去不少因果，于是开篇游湖和结尾雷峰塔都不免草草，白素贞的痴心也因少了日常相处的铺垫而说服力不足（甚至显得许仙挨那一巴掌都有些冤枉了，他只是迷糊了一下的凡人）不过这倒正应了“情不知起所起，一往而深”：白蛇传与牡丹亭，本来就是同一个故事。水漫金山一折真好，据说是对原戏改动最大的一段，甚至引入了西洋乐器。但两个身单力薄的女子奋不顾身，将自己对人间全部的悲愤与倔强具象为扑天而来的怒涛恨海，童年滤镜和左宏元加成的新白娘子传奇之后，白蛇传的故事第一次真正打动了我。
14,Quasar，,5星,山东,人到了一定年纪是会解锁新爱好的哈。真是美出新高度，传统文化真得顶。几位老师太牛了！
14,zosntn,4星,山东,粤剧腔调加古风特效，真的雅到极致了。希望国粹们能不断创新、与时俱进，而不是自视甚高、故步自封。当然，有些特效有点用力过猛，比如白许相识那段，搞得像是二十年前flash。总之，这样改编下去是很棒的！
15,格林童话,5星,新疆,大白真直接，小青真有灵气，这个服化道，这个画面特效，绝了～虽然最底层的逻辑是骗婚，但是那个年代这个故事核心是为了爱情反对封建礼教，也是可以理解人物动机的，水袖打斗太精彩了，法海是最讲道理的法海，佛法的威严太足了，年度十佳～
15,蔓越橘,5星,广东,许仙:人若无情不如妖，只要有情妖即人。自此心如磐石，一如最初。
16,红辣椒,5星,湖南,好好看，好感动
16,咕申克,4星,北京,戏曲电影，视效新尝试，值得一推。（内行看门道，美术指导李金辉老师真的是把创作和学术联系得很好）
16,天蓝蓝,4星,广东,很多影子飘过，比如日式庭院与和室，牡丹亭的花神游行，youshallnotpass....但还是有很精彩的部分，比如水墨山水、水袖打斗、经费在燃烧的水漫金山。这么一说，列出来的都是水，阴盛阳衰，考虑到是大女主电影倒也正常。
17,LeeLee,5星,广东,个人觉得有8.5到9分给满分是因为给了我惊喜除却文化传承这一说几幕下来景和意境真心美到别致开头的唱曲就非常引人入胜虽然觉得女主的声音过于尖了一点但搭上音乐效果挺好的里面的唱腔念词让我想起小时看的老港台片原来大家也不是都是现在这种中英夹杂的白话剧情上当然弱了点点不过折的拆分淡化了这种不连贯还有一点让我非常惊喜的就是打戏好久没看到这种实在的打戏了尤其是昆仑山上的那一段后面寺里舞秀的刷剑差一些不过舞袖太美了让我想起十面埋伏章子怡的那段敲鼓太美了！要说有什么不足的一是许仙一对比还是弱了些二就是锁进塔的情节有点太快了，没太铺垫好但是不妨碍它的惊艳！超级推荐！
18,南之禾,4星,广东,这特效放哪都不好使，唯独放在这里活像画中仙。诸如梁祝、白蛇传等故事我这辈子都不会听腻。
18,摇个不加粗,5星,浙江,戏曲改编的太美了，本就优秀的唱段，再加上这么好看的CG特效，锦上添花，经典曲艺焕发第二春，还想看到更多！
19,🍏,5星,黑龙江,看过
19,七彩云男,4星,云南,美轮美奂。。。
19,愤怒的瑞瑞酱,4星,北京,这种融合可以称之为创新，是真正建立在国粹之上的传承与开拓，不容易的！
