Column1,Column2,Column3
Laylakkkk杏,保密,听见粤剧眼泪都要掉下来
氛围紧张,男,看了好几遍，真的好看
-拂苍云-,保密,国内仙侠和戏曲电影未来的发展方向就应该是这样的！！我们年轻人爱看啊！！我真的是遗憾，明明白娘子许仙这个故事是杭州的，应该做成类似这样的越剧电影，结果偏偏被广东的粤剧抢先了！不过说实话，《白蛇传·情》给戏曲电影特效化大片化开展了一条全新的道路啊！！
传说中的静,保密,听不懂粤语，但是好美啊！质感很好，我个人比较喜欢古装剧的，看这戏剧电影妆造画面都好美啊，仙气飘飘的美，国风真的yyds，小时候看得最多的戏剧电影就是黄梅戏，除此之外就没有了。
asraam,男,为了卫道，所谓救一人搭上一城人，充分说明在道面前，人什么的都是堙尘，只要道在，权威可保万万年
帆帆是甜甜的,保密,牛哇
猛踹瘸孒那条好腿,男,别的不说，就冲这总策划，就值得看
浪笑呵呵,男,细节太到位了，特别是动作和微表情y~y~d~s!!!
秋泣寒鸣,保密,"许仙有啥错，谈恋爱的时候你也没说自己是蛇妖啊，许仙一个手无缚鸡之力的书生，突然发现自家娘子是一条大蛇，不怕就有鬼了……被吓到一命呜呼啊。
就这许仙还说『妖有情』那套，不错啦，还想要什么。"
走A不走心,保密,好睇
安然无恙GM,保密,美！
迪拜-酋长,男,看白蛇3不如看这个
迷途狂奔,保密,又到端午，来应应节[脱单doge]常看常新[给心心]
八级熬夜选手,保密,看完了，没有去电影院支持很可惜，服化道，剧情，演技，唱功都很厉害[喜欢]等待新作
小瑞9892,保密,水墨山水好有感觉
缘青青青,男,这是我第一次尝试戏剧电影，我终于明白古人为什么爱看戏了
SFAN思凡,女,绝
煎饼博士,男,看到中华文化才知世界都是野蛮文化
煎饼博士,男,流泪
天峨红古树茶官方小号,男,当时就是在电影院看的。非常值得。[脱单doge][脱单doge][脱单doge]
惜墨沐宇,男,泪点比较低，看了 一小段就哭了
卡BU卡BU唧唧,保密,拍得很好演得很好。棒棒哒。  白素贞修行千年，执迷不悟，简直枉费光阴！  须知宇宙之间，有得必有失，许仙一介凡人，百年之后，你们的情又如何延续？ 莫非要踏破地府，强留人间？  千年修行都无法领悟这个道理，可悲可恨…
森雨茂,保密,24年了，看的真是酣畅淋漓，虽然听不懂粤语不影响听着舒服，头一次看戏剧看完一部的，没有在影院看一大遗憾。
店小二yes,女,好特别的一部电影，看的身心舒畅，之前都没刷到过相关的内容但是一点开就被硬控住了，只想继续听下去看下去，不舍得离开
孤与它对刀枪,男,第几遍了呢...
通辽枢密院枢密使,女,在线下电影院看过，很惊艳，她一唱我的鸡皮疙瘩就起来了
我素酱油,女,好看，马上买票去看粤剧现场
咔滋拉哒,男,不错不错
珍珠奶茶玩偶,男,有意思
星沙幻梦,男,没想到拍的这么好，太精彩了
大道克己丶,男,太好看了
一溪流,保密,好片子··
sxhell,保密,精彩，这是好东西
红尘參梦,男,说法海管的宽的，你别代入许仙视角，你应该代入水漫金山被淹死的那些人的视角
糖醋烤鸭,保密,万人血书出梁祝，绝对爆[打call][打call][打call]
LLXLXYY,保密,画面太美了
周兴远,男,顶级的
找虐的就是我,女,看了剧场版的白蛇传·情啦，曾老师牛，小青也非常好，其他演出人员也都演得非常棒。打戏真的牛，票价还便宜，真是物超所值！
reclife,保密,可惜当年不知道有这个，没有去影院观影，可惜可惜
s蘑菇炒肉,保密,这才是中国的东西，现在的一些古偶啊，仙侠啊拍的是哪国文化我也不知道，我也没见过。
涼宫はるひ,女,说真的无论哪个版本我都觉得法海做的没有错，这两条蛇带灵入世就错了，后面不用说，你想想许仙被她吓死她就打上仙山，那如果许仙老死呢？是不是要打天庭？打不过就要撒泼灭人世？这个趋向从水漫金山就能看得出来，有的鸟兽鱼虫之为鸟兽鱼虫，是因为他们活该天生成为鸟兽鱼虫，我要是法海我直接给他灭了
Auselrys,男,我的眼泪不值钱呜呜呜
九十酒o_0,女,连续看了3天，还是意犹未尽，回味无穷！简直视听盛宴！影视剧评分给过最高分9.5！这个封神了！10分了得！
GaloThymos加急补充中,保密,我看看我看看[Cat_dash]
Aphiowood,保密,我外公从来爱看戏，这电影他一定喜欢。
许仙大战许褚,保密,白娘子最让我佩服的就是本领好强又很有自控力，一直用防守代替攻击，避免杀生[抱拳][抱拳][抱拳]
jgdpzxp,保密,个人一直有个不成熟的观点，不论小说，戏曲，评书，皮影等等等等传统艺术，本质上都是说故事的不同形式，在历史长河中融入了不同地区不同民俗的风格，从而形成的不同的表现形式。而一直以来都说戏曲是国粹，要传承，可是随着时代的发展，现在欣赏戏曲的人是越来越少，私以为应该还是在某些方式上守旧了。而从当初看到预告片就觉得这才是戏曲的正确传承方式，正片不负所望，实在太棒了，几位老师的戏曲功底极其深厚，一个动作一个眼神透露的那股味，两个字专业。非常感谢创作这部艺术品的各位艺术家，无限期待下一部作品。[支持][支持][支持]
薛大小姐的珊瑚宝,女,剧场版的巡演又开始喽，感兴趣的朋友可以去剧院里看看呀，现场也很精彩！4.14澳门，4.19浙江温州，4.23湖北武汉，4.27安徽合肥[奥比岛_击爪]
是大虾ya,男,呢部电影咧，系我自己去电影院睇嘅当时系知道系粤剧嘅情况。有几个外地又唔知道直接买影票嚟睇然之后话点解系粤剧嘅，唱啲咩嚟噶。
黛玉哥,保密,作为一个北方人，我一开始是冲着这部电影的精良制作去的，看到最后却是被中国戏剧的美所感染的。
暮梓食夜,保密,"别的版本的故事各有评说，但这里是各方都无大错，仅因立场、角度不同而有了敌对。这里面都是人无错，但法、理难容。
白蛇青蛇既一开始未与许仙言明自己身份，那当秘密被突然撞破，且是以法海极为强势的插手干涉的方式撞破，那许仙的恐惧、软弱其实是理所当然的。你不能将秘密一直隐瞒，被揭穿时又指望别人能立刻接受。
法海受于佛命，本质上他非小青小白的敌人，他渡化许仙阻拦白蛇，在小青看来蛮横至极，但在法海自己看来至少未有波及他人，而小青三言两语不合就是水漫金山威胁，确实也不是好人。
这里其实又反映出了一个问题：人、妖的价值观就是不同甚至冲突的，而这样的冲突可能因各种原因酿成大祸。"
该头大爷,保密,今年新年期间，这部戏曲第一次下乡演绎，真的太受震撼了，我和爸妈一起去看的，前面坐的也坐满了，站也站满了爸妈在前面找到了位置，我就在后面站着看完了整场，真的这就是国粹带给我们的感受，每一帧都是艺术美学，看到最后泪水早就塞满我眼球了，第一次看到这么新疑的粤剧[大哭][大哭][大哭][大哭]
墨谙ang,保密,真的好美啊！！！！画面音乐人都好美啊！极致的享受啊[桃源_给花花][桃源_给花花][桃源_给花花]
咸鱼末日之时,保密,我记得白娘子传奇，老电视剧那一版，许仙进门掀开帘子就是一个巨大的蛇头冲出来，小时候是真的被吓到，而且老电视剧特效不像现在这样，效果更恐怖了[tv_皱眉]
janmars123,保密,且不说绝美的身姿腔调和服化道，单是叙事节奏的把控、对人物性格的生动塑造，就可以一骑绝尘，吊打大多数电影了。
恶龙咆哮嗷不出来,保密,美丽动情，好喜欢
安徽蚌埠陈幸伟,男,弘扬优秀传统文化，传递真善美，已投币支持
喔是卖报滴小行家,保密,太美了，不知道还有剧场版的没，一定要去看看现场的
大嬛今天自恋了吗,女,"就说为啥不让他俩在一起。
白素贞用法术帮许仙开店，钱又不能凭空变出来，肯定是从别人家偷的呗。看过西游记都知道，变化术是不能凭空变东西的，只能把一个东西变个样貌，本质还是那个东西，法术失效就恢复原形了。像你本来没有的东西，你只能用搬运法搬过来。白素贞也不懂铸钱之法，那肯定就是从别人家偷的。
一个妖怪为了自己的凡人丈夫，偷取别人的钱财供丈夫所用，犯法也不用付出代价，反正她会法术官府查不到。
白作为一个妖怪在人间，逃脱法律之外，这就已经是不对的了"
地煞七十二变,保密,什么时候复映啊??
监督我学习嗯,保密,好看
我的乐事,保密,有没有大神知道哪里可以找到中英字幕版的呀TT
亿堆沙雕,保密,真好看呀
柠檬又抽了,女,真不明白许仙软弱又无能，白素贞到底看上他什么了[难过]
道心破碎的打工人,保密,可恶，居然免费了？当初刚上线的时候还花了6块还是多少[doge]
香菇牛肉汤婆婆,女,2020电影院里面看了两遍，又自己去看了一遍，手机又开了VIP看他
青灯夜行,保密,艺术品啊真的是艺术品
摄鹿,保密,顶中顶的剧，非常喜欢
紅爐点雪,保密,拈花向君  如是一梦
账号已注销,保密,我一直都想成为许仙的，你知道的，蛇在春天的时候，是二十多个小时的
捷诺Xeno,保密,戏曲艺术家的文戏和武戏功底碾压影视演员，一个眼神的信息量堪比半页剧本。吊个威亚就是仙侠风骨，抽出长剑就是行云流水的武侠桥段。这一版法海的塑造非常大气，金刚怒目，移山分海，但心怀慈悲，一直从维护天道人间秩序的角度劝白素贞放下执念专心修行，这才是得道高僧应有的气度。金山寺众罗汉的亮相压迫感拉满，但招招留有余地，只是驱赶不欲伤人。小青的人设也非常丰满，清醒干脆又不失人情味。金山寺中法海苦劝白素贞，当时小青一个看向白素贞的眼神就清楚地表达出她有那么一瞬间是赞同法海的，但白素贞不退却且真情流露，那她也能有理有据地帮姐姐驳斥法海。如果院线重映一定去支持。
awsl多少次,男,拍到曾老师了 我不敢上去合影 [笑哭]
河六更,男,当时看这部电影时就在感慨，原来戏曲也能这么拍，太美了，太震撼了
孤单灿烂的白神,保密,我带奶奶和我爸看的，没几个人当时坐标如皋[呲牙]很美但是听不懂，我以为是我奶奶经常听的那种，后来看完问才知道她爱看的是越剧不是粤剧[藏狐]
洛1天依粉,保密,这么好的电影，竟然没去电影院看有点可惜
奇物-定分枪,保密,白素贞是真下头，和国女一样喜欢骗，完全就是骗婚，而且妖力强大以后肯定是家暴女，难怪被法海收拾
冈田纱佳の现任,男,电影是不错，但是别碰瓷好莱坞了，吹都吹不到点子上[呆]
王和玉兰花,保密,好幸运当时我去影院了[爱心]
Der到成仙儿,男,五刷
栖鸦去尽远山青,保密,今天戏曲春晚看到曾老师了，老师声音一出我就立刻窜起来了，我真的好爱白蛇传情，看了太多遍老师唱粤剧的声音我都记住了
兔仔妈2018,女,感动……让我回想起60年代中日合拍的白蛇传的原版，也是最早的版本。那部是完全根据原著拍的，如果你们看过那部片子，或看过原著，就会明白，法海是救许仙的，只不过他执迷不悟。和徐克那部《青蛇》里的许仙一样。
怜悯吾,男,前几日观看，剧组非常好，这么好的电影没火，真的是时不我待。恨今朝，饮酒思愁。
漫画137,保密,当时真的没有几个宣传 有幸去电影院捧场了超级好看
加急康康,保密,有没有05的[脱单doge]男的，我真心喜欢粤剧
OkabeShinpei,保密,比起好莱坞差到哪去了
眼中再无意中人3526,保密,这部电影的打戏很好看，特效更好看！[支持][支持][支持][支持][支持]
双叶幼稚园一哥,男,你还不
非洲欧皇哥,保密,[喜欢][喜欢]我对这种有场景搭配的粤剧拒绝不了一点
宝藏男孩吴以岭,保密,这就体现出互联网平台的好处了，一些成本低但比较优质的作品可以放在互联网平台上，不用跟那些大片争，让时间去创造自己的口碑，总比午夜场多一些展现的机会吧
縮骨強,保密,搵好耐都無知邊處有?終於在B站搵到嚟部戲啦，好激動啊。人生首次睇粵劇可以發彈幕[笑哭]
殇薛飞,保密,好好看啊啊啊
任意门的说,保密,知道口碑好，但不知道原来居然这么好看[大哭]
无聊人类的生活方式,女,能再上影院吗？，想上电影院看
起星鱼了ovo,女,[保卫萝卜_哭哭]
好子弹上膛,保密,非常棒，影院看了两场
B站最后一名用户,男,施主，她在缠绕你啊
应是如来,保密,谁2024又看一遍
奈何少年不年少,男,一年一刷
susan是偏执的,女,可否重映啊！这么全方位优秀的作品没能去电影院看感觉错过了一个亿
白雪月乃,女,好几次泪目了
榆树檩,保密,我愿称之为艺术品
hoki-九刚,保密,太好看了这部电影，里面的每个唱段都好听。最后月声起的时候，我的心也碎了，呜呜呜~为这凄美爱情干杯( ゜- ゜)つロ
风易飞,保密,我居然没看过这个白蛇传[笑哭]，这剧情这法海太赞了??
藤原和树,保密,法海降雪那里的曲子叫什么名字啊
泰尼普,保密,[笑哭]放假三天刷了三遍，听的鸡皮疙瘩都起来了
1212呵呵1,男,伟大，无需多言
冰墩墩20001号,男,1:24:49
冰墩墩20001号,男,1:01:01
青旃默染,保密,[tv_doge]好了，下一个开始在追一遍孟姜女
lonorca,保密,神作
lonorca,保密,之前在电影院看的
李向芝,保密,为郎甘愿，飲雄黄
bili_54932812789,男,可以利用现代的后期手段做成布袋戏这样的艺术形式，让年轻人接受的方式呈现才能继续存续。
水丶豚骨拉麵,保密,艺术！艺术啊！
缝缝补补的人生,保密,汗毛竖起来了，看完酣畅淋漓
junhongliao,保密,难以想象看到本片时的感动，一直跟着拍子敲指头，一边眼泪哗哗的流，浑身鸡皮哗哗的起…………
鵼大师,男,太顶级了我靠
huge113,保密,如果京剧 黄梅戏都这么拍，还愁没有年轻人看嘛
冷清清人在何方,女,我去！之前朋友推荐一直想看忘记了，今天来一刷惊艳到了
彼岸花啊娘,保密,小青：我信了你的邪，哈哈哈哈哈哈
大喵想喝水,女,我今年看过最好的打戏是在戏里[辣眼睛]望娱乐圈一些208报戏班子进修一下吧
Mizuginn,保密,什么时候线下再排演出啊 之前还在上学没办法看 现在工作了有时间也有钱了发现根本没有地方有演出了[物述有栖_酸辣][物述有栖_酸辣][物述有栖_酸辣]
lxg007,男,太出色了，太出色了，真的震撼到我了，我一直很喜欢戏曲，但是我真的不知道戏曲配上现代特效和实景背景会有这么出色，这么惊人的演出效果
lxg007,男,这部作品其实没有做到我心里想象的传统戏曲改电影的最好，但是这个剧情改变真的让我感动的泪目了，没有抱着古老的古人的那一套，而是做了符合现代人价值观的改编，许仙，法海，白素贞在原版故事里的不太符合现代人价值观认同的行为和言论都做了合理的改编，太出色了，我不知道编剧是谁，但是他绝对是个真正的天才，看到这样的作品，我对传统文化所一向抱有的悲观态度也有一些改观了，本来我觉得50年以内就会消亡，现在我觉得还是能撑到我离世的，真的，想到这个我激动的哭出来。至少在我死之前，我不希望我来的那个文化环境断根，真的谢谢这个剧组，让我看到了一些希望[大哭][大哭][大哭]
lxg007,男,传统文化要怎么发扬？答案就是这样了，不是抱着那些老古董逼着年轻人接受它，而是自己变成很酷很屌很炫的东西去适应年轻人
无冬之夜888,保密,以前觉得许仙就是个无能渣男。看了这部剧，第一次被白素贞和许仙的故事感动到，精彩绝伦
魔兽诚可贵,保密,我怎么看都是 白蛇-传情
浇水养花吧,保密,真是美啊！
十四十行,保密,很不错，
bili_17898656550,保密,完美[支持]
尹伊555,保密,哭啦[大哭]
青江小鱼,保密,这部戏真好，很感人
大天使米迦罗,保密,"还是先把西湖的水弄干净再说吧,隔老远臭死人了"
阿呆可爱佛一个,保密,太久了有点不记得了，当时感觉对许仙是有失望的。
Myail,保密,支持粤语，
冬阳老baby,男,这剧真的神了[星星眼][星星眼][星星眼]
阳阿公主李刘旻鴍,女,妳们在撒谎??本宫【阳阿公主李刘旻鴍】根本不认识什么佛母[阴险][黎明觉醒_怒了鸦][生气]#白蛇传·情#
XFDream,保密,真的好看
不要滥用激素眼药水,保密,按照传统的说法，白蛇是属于不走正道，偏离了伦理大道，从仙道脱离，不守纲常，由精灵变成了妖
这个称昵应该不会存在,男,卡
爱马栩,保密,这大制作，在戏剧里属实没有想到
现实更善良,保密,孙悟空怎么可能斗的过千年大妖白素贞，没可比性。
虎8同学,保密,戏剧原来也可以这么美！
星星冷啦眨眼睛,女,留个爪，明天继续看
性认知女进女撤被无期,男,好看一个00后看的津津有味
我爱新疆哈密干,保密,[热词系列_可以]
刘姥姥大闹宁国府,保密,好看，好听，好美
machine841567,保密,"唱腔温柔辗转  功夫扮相 词也好 场景也妙哉 
白素贞水袖是真功夫吧 会魔法吗？ 
这个团队值得打call"
machine841567,保密,拍的太好了 牛逼
山迎户,保密,与君初相识，犹如故人归。
祖传大鹿,保密,感到屏幕色差的威力了，01:26演员的妆在手机上是偏粉色，颜色发艳比较跳；在电脑上看是偏橙红，饱和度很自然[小电视_思索]
呼喊2,保密,好看，是一次大胆的尝试。现在舞台剧也火了。传承中华文化[星星眼]
可怜的Tom猫,保密,很美很好看！！
spica123,保密,啥时候上张曼玉那个
吾辈又不是猫,保密,希望能有更多的戏曲作品登录大荧幕[星星眼]
安志杰高州分杰,男,第一次知道粤剧还能拍成电影[doge]
潇赫彦,保密,致敬艺术
DB木子,女,真的期待《梁祝》
撸铁勺,保密,真的太绝了！！！
欧阳陌灵,男,晚了两年看的，真的很精彩，很棒。
酸梅汤哪里去,保密,早在电影宣发的时候，就很期待它了，毕竟近年来戏剧电影很少，最常看的都是五女拜寿这些老片子了。并且粤剧在我们这边受众不多，剧院里常见的剧种是京剧黄梅戏。所以超级期待去电影院看粤剧电影。但可惜电影上院线的时候，我们这边排片特别少并且时间地点都有些偏，没能够直接去影院观看。如果有重新上线的机会，或者有新片子，一定会去电影院捧场去??
小摸尼,女,太短了[大哭]
Oliver148,保密,好正！!
_麻雀_,女,好美好美！
阿逵女,女,哭死了，白素贞柔情婉转，小青俏皮灵动，人物形象甚是浓郁，超级喜欢[爱心]#白蛇传·情#
哦豁伱蒸糕,男,太牛了，飞行有音爆
朋也同学想吃面包,男,看这电影想起梁祝了[大哭][大哭]也是不错的电影，
多么哇塞地姑娘,女,没看过的风格，画面太美了
轩辕艾珊,保密,这部剧上映的时候我竟然不知道，大陆的宣发真的该死啊[大哭]
我们七斋都有病,保密,昨天去看了现场，嘿嘿。各位老师都超级棒！
厌世迷城,男,为啥我觉得这特效秒杀那么多高经费大片呢
月下美男666,保密,一部完美的粤剧电影，千年粤剧就应该用新的方式，要新瓶装老酒，酒香方可传千年！！
x半夏微凉冣,男,都以为法海是白素贞的劫难。其实许仙才是白素贞的劫难，而法海才是那个拯救白素贞于劫难的机缘啊
阿一耶耶耶耶,保密,无奖问答 小白是白素贞 小青呢？
米果一只,保密,23.10.23前天刚看了舞台剧，又回来重温一边经典[支持]
花花啊是只猪,保密,刚上映的时候在电影院看的，第一场，当时入座率不是很高，真的很好看很震撼，值得二刷，然后有幸看了舞台版，也超级好看，各有千秋，也很值得现场看，如果舞台版和电影版都很值得反复观赏，推广了粤剧，让传统文化没有走向没落，真好
兔子先生9326,女,今天深圳南山万象天地有一场排片可以去看
春风古茗,男,怎么一卡一卡的
GlT,保密,今天看了现场版的，就问一句，能不能联合b站出个官摄[大哭][大哭][大哭][大哭]真的好好看啊好好看
MantisOfficial,男,??
适晓晨,保密,在做这个英译研究 但是英文字幕都没有
是绿树呀,保密,太好看了，看完了，欠你一张电影票，绝美的中式风情，情愫缓缓诉说与我的感觉，如此细腻。水墨审美真的让我的眼睛得到了洗礼，希望多拍一些这样的作品。
树起凸,男,建议大家屏蔽3级以下包括3级的弹幕吧，你会发现少了好多弱智发言，弹幕瞬间清静很多
古靥大小姐,女,好想在电影院看啊，三刷了，虽然是耳熟能详的故事，但就完全能让人沉浸其中，太棒了
独立团一营长张大喵-,男,上海天蟾逸夫舞台9.29的剧，有没有一起去看的呀。
赤橙黄绿青蓝紫的花,保密,好看
绯大帅鸽,男,果然，看金光的都喜欢看这个，我看弹幕看到好多同好哈哈哈哈哈哈哈
壹滩熊,男,很棒，只是中国人年轻人缺失了对中国传统戏曲的审美，致使戏曲只存在于老一辈的记忆之中。很高兴现在还有这样一批人能拍出这样的片子，但是也没什么需要担心的，毕竟，B站的各位给出了9.9的评分，说明我们的年轻一代认可这些，我们未曾远离中华传统（因为被殖民过，出现过文化危机，所幸不曾有过文化断代）。相信我们终将还是我们！
赫連清子,保密,广东人看得津津有味，剧情对白太感人了
小刊的分身,保密,小白仙山抢灵芝那段，弹幕有人说高考前早恋的危害，给我笑拥了我天呀哈哈哈[喜极而泣]要不要那么贴切
最痴君,男,孩子是什么时候出生的？
Y假不正经,男,情不知所起，一往而情深[tv_大哭]
一个如花似玉的诗人,保密,好剧啊
我只是一个小小孩,保密,这不比京剧好看？就是遣词造句和普通话有点不一样，听不懂
伊巴谦莫域,保密,从不看粤剧的我，竟然全程看完了[小电视_赞]
文文他爸,保密,"真美意外不知道说什么
[星星眼][星星眼][星星眼]"
鷇音_大道之声也,女,我在戏曲台看过，很喜欢这一版
狄穆岚,女,小青看许仙：糟蹋姐姐的猪/许仙看小青：年轻的丈母娘[doge][doge]
awsl多少次,男,村里这几天请了省二团 隔壁请了省一团
feipeng188,保密,这部片我当时在电影院连着两天看了两遍
黑龙噬魂,男,我想说一句啊。从一开始白蛇与许仙的缘就是白蛇强求而来，之后还把许仙吓死了一次。有人肯定要说，因为许仙买雄黄酒给白蛇喝了，才会现出原形。但是许仙又不知道他娘子是妖变的，雄黄酒古时人们认为他有辟邪补身功效。许仙买雄黄酒给娘子喝。本就是好意。哪知道自己娘子是妖啊。当时就被吓死了。其实到这里来说缘分其实就已经断了。人都已经死了。白蛇到仙山上摘取灵芝把许仙救活，这已经是逆天之举。之后许仙因为吃了千年灵芝，可以感知到白蛇的本体。又听到他人在说娘子可能是只蛇妖，心中很是疑惑。才去找法海求得答案。之后便被法海带去寺中断却这段缘分。然后就是白蛇带着青蛇。想把许仙带回来。然后就跟寺庙里的那些僧人打了起来。有罗汉的屋子的时候，许仙那时正在被度化。那个阵法凡人是出不去的。之后许仙看到娘子受伤想出去。怎么也出不去，拿头撞也出不去。然后就是白蛇身受重伤。躺在西湖岸边。青蛇说他负了白蛇，但是白蛇没告诉他，她为了救他去摘了千年灵芝，还受伤了。许仙根本不知道这一切。之后小青才说出了这一切。许仙这时才知道。但大错已经铸成。天道为他们的情悲悯下雪，但是白蛇用大水淹山造成生灵涂炭被天雷劈是免不了的。被劈死是绝对的。只不过有人帮她挡了一下。然后就是镇压在雷峰塔下千年。许仙也在雷峰塔边陪着她，直到老死。[呲牙]
火锅里不放肉,保密,没想到能看到如此精彩的戏曲类电影。
y1mo_,保密,太棒了！！
是裤裤不是酷酷,保密,广州老实人表示打小就不喜欢粤剧，但是如果粤剧以这种形式表现，真的很容让年轻一代接受并且喜爱，梁祝聊斋木兰孟姜女安排一下啊！！！很喜欢里面的一句台词：谁的情话，流传人间（千年）~[脱单doge]
闻蝉但益悲,保密,恋爱脑引发的悲剧
Aaronyl918,保密,9.9 分，我想知道吗 0.1 分怎么扣的[doge]
博物小生,男,问世间情为何物，直教生死相许。在纷繁复杂的当下，我们听多了出轨、离婚、抛弃，对真情失去信心，只能用华服、豪车等外物安慰躁动却又无奈甚至受伤的心，今日赏佳剧、忆惊情，愿每一位观众朋友都能一生一世一双人。
方正杨,保密,这特效风格  相较于比起现在这些年层出不穷的古装仙侠言情剧  精致逼真多了～～
keyong1050,男,今天不知道是第几刷了[微笑]
sonasu,保密,马娘可以，猫娘可以，犬娘可以，蛇娘为什么不可以[傲娇]
卖火柴的红萝卜,保密,没啥文化，只能说一句，真美
墨墨水水,女,好看，水墨风好美啊[打call]第一次看粤剧电影
小屁孩爱吃鱼,保密,曾小敏老师真是非常潮流的戏曲人!
莫妮卡卡哒哒,保密,好美[大哭]
栖霞之,女,啊？戏曲片不是都这么拍吗，我还以为拍摄方法多新奇，特地来看。。
咸鱼们的老大,女,这版的法海与白青两姐妹只是立场不同，法海是真的有出家人的慈悲在的
BeCrazyDevil,保密,这部电影不能投屏，哪位uu知道是为什么，其他视频都可以投5555
吖布Andrea,保密,太拖沓了，真的太拖沓了。剧情造型演技都很好，但是有些地方好能拖。看着好累。
春林雾,女,呜呜呜，美呆了
灰常海海,保密,电影的舞台效果就已经炸裂了，我小时候就是跟着奶奶去看了不少戏剧，这台粤剧迈出的步子很大很大了。这个比迪士尼的伪中国风动画，不知道纯正多少倍呢。
钱小妞淘气,保密,2023了我还在看，希望下次能在电影院看新片，太好看了
岸久久久久,女,太遗憾了，没能在电影院看到
刚才驱之不散把,保密,好看呀，兄弟姐妹们好看，老少皆宜的优秀作品啊，真的是老少皆宜，真的好看，仅此一份
甜笑为别,男,21年的时候，有幸在电影院看过[呲牙]，那一场人也有三分之一
西山大树,保密,除了戏曲电影，哪还有电影让我们台词都背下来了还在一遍一遍刷的
苏溪汀,保密,真不错
joyjoy103,保密,希望潮剧也能搬上电影屏幕
子瞻约我BBQ,保密,太美了[大哭]表白白姐青妹[给心心]
ParisHill,保密,[辣眼睛]早七点还有八个人看，这句上头几年啊看来
141麟某人,男,各位兄弟姐妹，法海是金翅大鹏的转世吗？[脸红]
玉广文俊,保密,非常喜欢曾老师
路远有江莱,保密,好看[打call]
不可爱就不可爱,男,我记得，青蛇貌似刚开始设定是公的吧[滑稽]
晴开咸阳雨落长安,保密,千年蛇妖人避嫌，唯有许仙相爱与。若恐千年等闲之，诺你千年相约之。
长岛冰茶er,男,不愧是院线版，视听表现太高级了
