页码,评论者,星级,IP属地,评论内容
2,WgkT,5星,广东,不敢说《白蛇传情》保留了多少传统戏曲的精髓，不敢断言能成为中国戏曲电影中的经典，但绝对是一部里程碑大作。最大的短板是故事无疑，许仙的形象还是稍显薄弱，可贵之处是运用数字视效技术呈现出了一个全新的充满现代感的粤剧舞台，虽然有穿帮，但在氛围营造上非常有效，光是水漫金山的那个水墨特色镜头就让人起鸡皮疙瘩。而且打斗、人物表演、台词、服装、道具、配乐节奏水平都很高，吊打一众廉价古风剧制作。在大起大落，起承转合过后，结尾的白蛇入塔高潮戏码竟然戳到了我的泪点，曾小敏老师的唱腔功不可没。这才是真正的艺术创新，不光传承了戏曲形式，还重新树立了中国古典审美的标杆。以后如果有人一时兴起想在艺术电影里淘金追忆，我觉得《白蛇传情》值得被挖掘和鉴赏。
2,瑞典神厨,5星,江苏,支持中华文化之瑰宝
2,拾贰二,4星,浙江,中国文化之美，画面好，台词好，唱腔也好。
2,Will,5星,天津,第一次看粤剧，遗憾当初上映时没有去大银幕看，想必体验一定会更好。
2,知归,未知,陕西,看画面和构图啥的特别像徐克的《青蛇》
2,剪一湖秋蓝,5星,北京,虽然是粤剧，但有电影的美感。排山倒海的画面很震撼。
2,Tomorrow,4星,山东,剧情紧凑，看完很多人还没走，差不多直到听完歌才走。
2,棋魂&OP!,5星,上海,第一次用美来形容电影。虽然平时不怎么看戏剧，但电影与戏剧相结合的形式让人感觉很舒服。
2,木朋Joy,未知,北京,画面极美韵味醇厚
3,jackman,4星,江苏,保持原有故事魅力的同时，通过创新的视角、深刻的人物刻画、卓越的视觉效果和丰富的文化内涵，为观众提供一个既熟悉又新颖的故事，那么它可以被视为是一次成功的改编，尤其是戏曲元素的注入，塑造了一场东方美学的视听盛宴，也是传统戏曲新的希望，无论是特效之作，还是艺术审美设计，或者剧情发展，都源于中国传统文化，东方传统文化审美本就是最好的拍摄主题。
3,乔阿治,4星,云南,水漫金山好好看zeizei！！
3,静恩,5星,广东,【观感】8.5。粤曲美、动作美、特效美、场景美、情美。可惜了，没在电影院看。希望能有多一些同类作品。粤剧粤曲再灿烂。
3,我是可爱小仓鼠,5星,广西,额…我觉得我的妈妈会很喜欢看，我不喜欢。
3,noya,4星,河北,第一次看戏剧与电影的结合太惊喜了！！不管哪个版本我还是觉得许仙很有问题！
3,.,4星,重庆,电影和电视剧不一样，电影在大荧幕上，所以十分考验演员，演员所有神情动作都会无限放大，还有电影的特效，都决定了观众能否沉浸到电影当中，这部影片，我觉得很好，给了观众很好的观影体验
3,大龙,5星,江苏,#粤剧电影谯国夫人#谯国夫人北京超前观影#电影谯国夫人，电影白蛇传秦拍的很好，有宋代的场景，精巧的道具，水墨般的画面，表现出中华传统戏剧的韵味，背景音乐堪称一流，是一部不错的视听盛宴。
3,秀,5星,北京,人若无情不如妖，只要有情妖亦人。
3,墨水鱼,5星,浙江,第一次觉得，粤剧也可以这么好看好听，艺术家就是艺术家
3,南木砂,5星,四川,很美。
3,一只双下巴,4星,浙江,唱的好美
3,🌸,5星,上海,人若无情人亦妖
3,哟,4星,河北,好看推荐
3,Leslie,3星,上海,形式不错，整体还是加了特效的粤剧，称不上好的电影
3,快乐小狗找乐子,4星,福建,画面好看的
3,財苑,4星,浙江,去年的时候就发现了这个剧，一直屯着没看，这两天看了是真的好看，尤其是发现新龙门客栈这个越剧也准备搬上电影舞台的时候，我真的好奇，当电影与戏曲结合在一起之后，又会是什么样子的美景呢？
3,Kiki,4星,浙江,青白蛇这个题材我愿意一直看下去
3,纯良窝头,4星,上海,从小就没看过什么戏剧，长大了虽然不至于讨厌，可还是喜欢不起来。
3,爆炸小狮,3星,四川,（补）和yjy看的，画面挺美的
3,咕噜咕噜顿巴克,4星,湖北,全程我感动的点，居然在鹿仙童救白素贞和法海弟子私自放许仙这两个！
4,弥生小姐糯米桑,4星,英国,作为戏曲艺术观赏。30岁以后白蛇传这样的故事看不了一点。
4,源来如此,5星,陕西,东方美学
4,海盐焦糖icy,5星,河南,可惜没得看大荧幕，投影仪看着还是少了点什么
4,momo,4星,广东,水墨一样的场景，很美。
4,梁只老虎🐯,4星,广东,真的强烈推荐大家去看，单单从文化角度就值得我们应该去支持一波。但是偏偏这部电影，无论从演技，专业，画面，都非常不错
4,莹航,4星,山东,8
4,朱诺,3星,浙江,不太喜欢
4,人类,4星,广东,可以的
4,胤澈,5星,四川,真适合过年过节一群亲戚来串门的时候，就这么往电视剧上一放，哎，这粤剧戏腔既熟悉又热闹就对了，因为都忙着瞎几把吹牛，没人看电视。
4,躲起来的云,5星,广东,粤剧电影好听，打戏有力量，水墨景致看起来很舒服，法海的形象也庄严讲道理
4,咕咕,4星,重庆,画面超级美
4,927,5星,河南,一颦一笑，一举一动，水墨画风，妆造构图，粤剧唱腔无不美轮美奂～小青飞起来太美了～
4,Yvonne,4星,广东,画面很美白素贞恋爱脑青妹人间清醒许仙软弱无能还无知白素贞与许仙的结缘起于女版许仙男人果然不靠谱
4,你嘴角的小梨涡,4星,福建,这个法海的斗法才是得道高僧的感觉，赵文卓的法海太张狂，赵雅芝版本的法海太猥琐
4,海之言,4星,安徽,成功并不能用一个人达到什么地位来衡量，而是依据他在迈向成功的过程中，到底克服了多少困难和障碍。
4,醒醒爱看书,4星,广东,好新颖的表现形式。唱的好听，打得好看。小青说的真好：妄你修炼千年，却学会了委屈自己。结尾是有点突然了。
4,thankyou,5星,河北,太美了也，属实没想到
4,Nurtamë,3星,浙江,24.6.133.5，还可以。背景CG感太重，过于“匠气”，失掉了很多水墨的写意美。电影节奏不太好；如果是原本戏曲体裁造成的问题，似乎需要更大胆的改编。以及某几首曲子的填词风格好奇怪啊！小青可爱得不行。
4,零余者i,3星,山东,人执迷，妖不悟，盈盈袅袅一段情，文可观，画足叹，朦朦胧胧一处缘。半文不土，老且年轻，似是文化困境，也是文化出路。<3.5>
4,小钻风,4星,北京,美！特效好！表演好！
